| Communications | SERBIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 2,711,725 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 38 (July 2016 est.) |
| Telephones - mobile cellular: | total: 9,094,447 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 127 (July 2016 est.) |
| Telephone system: | general assessment: replacements of, and upgrades to, telecommunications equipment damaged during the 1999 war resulted in a modern digitalized telecommunications system |
| Telephone system: | domestic: wireless service, available through multiple providers with national coverage, is growing very rapidly; best telecommunications services are centered in urban centers; 4G/LTE mobile network launched in March 2015 |
| Telephone system: | international: country code - 381 (2016) |
| Internet country code: | .rs |
| Internet users: | total: 4,790,488 |
| Internet users: | percent of population: 67.1% (July 2016 est.) |
