| Communications | United States |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 107,667,642 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 32.6 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 408,509,528 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 123.69 (2019 est.) |
| Telecommunication systems: | general assessment: a large, technologically advanced, multipurpose communications system; mobile subscriber penetration rate of about 129%;Â national LTE-M services, closes down 2G infrastructure and reassigns spectrum for 5G;Â FttP rather than FttN efforts (2020) |
| Telecommunication systems: | domestic: a large system of fiber-optic cable, microwave radio relay, coaxial cable, and domestic satellites carries every form of telephone traffic; a rapidly growing cellular system carries mobile telephone traffic throughout the country; fixed-line 33 per 100 and mobile-cellular 124 per 100 (2019) |
| Telecommunication systems: | international: country code - 1; landing points for the Quintillion Subsea Cable Network, TERRA SW, AU-Aleutian, KKFL, AKORN, Alaska United -West, & -East & -Southeast, North Star, Lynn Canal Fiber, KetchCar 1, PC-1, SCCN, Tat TGN-Pacific & -Atlantic, Jupiter, Hawaiki, NCP, FASTER, HKA, JUS, AAG, BtoBE, Currie, Southern Cross NEXT, SxS, PLCN, Utility EAC-Pacific, SEA-US, Paniolo Cable Network, HICS, HIFN, ASH, Telstra Endeavor, Honotua, AURORA, ARCOS, AMX-1, Americas -I &Â -II, Columbus IIb & -III, Maya-1, MAC, GTMO-1, BICS, CFX-1, GlobeNet, Monet, SAm-1, Bahamas 2, PCCS, BRUSA, Dunant, MAREA, SAE x1,Â TAT 14,Â Apollo, Gemini Bermuda, Havfrue/AEC-2, Seabras-1,Â WALL-LI, NYNJ-1, FLAG Atalantic-1, Yellow, Atlantic Crossing-1,Â AE Connect -1, sea2shore, Challenger Bermuda-1, andÂ GTT AtlanticÂ submarine cable systems providing international connectivity to Europe, Africa,Â the Middle East, Asia, Southeast Asia, Australia,Â New Zealand, Pacific, &Â Atlantic, and Indian OceanÂ Islands, Central and South America, Caribbean, CanadaÂ and US; satellite earth stations - 61 Intelsat (45 Atlantic Ocean and 16 Pacific Ocean), 5 Intersputnik (Atlantic Ocean region), and 4 Inmarsat (Pacific and Atlantic Ocean regions) (2020) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | 4 major terrestrial TV networks with affiliate stations throughout the country, plus cable and satellite networks, independent stations, and a limited public broadcasting sector that is largely supported by private grants; overall, thousands of TV stations broadcasting; multiple national radio networks with many affiliate stations; while most stations are commercial, National Public Radio (NPR) has a network of some 900 member stations; satellite radio available; in total, over 15,000 radio stations operating (2018) |
| Internet country code: | .us |
| Internet users: | total: 285,519,020 |
| Internet users: | percent of population: 87.27% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 110.568 million |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 34 (2018 est.) |
| Communications - note: | note 1: The Library of Congress, Washington DC, USA, claims to be the largest library in the world with more than 167 million items (as of 2018); its collections are universal, not limited by subject, format, or national boundary, and include materials from all parts of the world and in over 450 languages; collections include: books, newspapers, magazines, sheet music, sound and video recordings, photographic images, artwork, architectural drawings, and copyright data |
| Communications - note: | note 2: Cape Canaveral, Florida, USA, hosts one of four dedicated ground antennas that assist in the operation of the Global Positioning System (GPS) navigation system (the others are on Ascension (Saint Helena, Ascension, and Tistan da Cunha), Diego Garcia (British Indian Ocean Territory), and at Kwajalein (Marshall Islands) |
