| Communications | Yemen |
| --- | --- |
| Telephones - main lines in use: | 1.117 million (2008) |
| Telephones - mobile cellular: | 3.7 million (2008) |
| Telephone system: | general assessment: since unification in 1990, efforts have been made to create a national telecommunications network |
| Telephone system: | domestic: the national network consists of microwave radio relay, cable, tropospheric scatter, GSM and CDMA mobile-cellular telephone systems; fixed-line and mobile-cellular teledensity remains low by regional standards |
| Telephone system: | international: country code - 967; landing point for the international submarine cable Fiber-Optic Link Around the Globe (FLAG); satellite earth stations - 3 Intelsat (2 Indian Ocean and 1 Atlantic Ocean), 1 Intersputnik (Atlantic Ocean region), and 2 Arabsat; microwave radio relay to Saudi Arabia and Djibouti |
| Radio broadcast stations: | AM 6, FM 1, shortwave 2 (1998) |
| Television broadcast stations: | 3 (including one Egypt-based station that broadcasts in Yemen); plus several repeaters (2007) |
| Internet country code: | .ye |
| Internet hosts: | 242 (2009) |
| Internet users: | 370,000 (2008) |
