| Communications | Botswana |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 139,735 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 6.12 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 3,968,526 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 173.81 (2019 est.) |
| Telecommunication systems: | general assessment: the Botswana Telecommunications Corp is rolling out 4G service to over 95 sites in the country that will improve network connectivity; an effective regulatory reform has turned the Botswana's telecom market into one of the most liberalized in the region; Botswana has one of the highest mobile penetration rates in Africa; 3 MNOs have entered the underdeveloped broadband sector with the adoption of 3G, LTE and WiMAX technologies; mobile Internet remains the preferred choice; the expansion of a fully digital system with fiber-optic cables along with a system of open-wire lines links the major population centers in the east; the use of multiple SIM cards has delayed the introduction of (mobile number portability) MNP (2020) |
| Telecommunication systems: | domestic: fixed-line teledensity has declined in recent years and now stands at roughly 6 telephones per 100 persons; mobile-cellular teledensity has advanced to 174 telephones per 100 persons (2019) |
| Telecommunication systems: | international: country code - 267; international calls are made via satellite, using international direct dialing; 2 international exchanges; digital microwave radio relay links to Namibia, Zambia, Zimbabwe, and South Africa; satellite earth station - 1 Intelsat (Indian Ocean) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | 2 TV stations - 1 state-owned and 1 privately owned; privately owned satellite TV subscription service is available; 2 state-owned national radio stations;Â 4 privately owned radio stations broadcast locally (2019) |
| Internet country code: | .bw |
| Internet users: | total: 1,057,079 |
| Internet users: | percent of population: 47% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 40,044 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 2 (2018 est.) |
