| Communications | BURUNDI |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 21,774 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (July 2015 est.) |
| Telephones - mobile cellular: | total: 4.998 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 47 (July 2015 est.) |
| Telephone system: | general assessment: sparse system of open-wire, radiotelephone communications, and low-capacity microwave radio relays |
| Telephone system: | domestic: telephone density one of the lowest in the world; fixed-line connections stand at well less than 1 per 100 persons; mobile-cellular usage has increased to roughly 45 per 100 persons |
| Telephone system: | international: country code - 257; satellite earth station - 1 Intelsat (Indian Ocean) (2015) |
| Broadcast media: | state-controlled La Radiodiffusion et Television Nationale de Burundi (RTNB) operates the lone TV station and the only national radio network; about 10 privately owned radio stations; transmissions of several international broadcasters are available in Bujumbura (2007) |
| Internet country code: | .bi |
| Internet users: | total: 523,000 |
| Internet users: | percent of population: 4.9% (July 2015 est.) |
