| Communications | Chad |
| --- | --- |
| Telephones - main lines in use: | 29,900 (2012) |
| Telephones - mobile cellular: | 4.2 million (2012) |
| Telephone system: | general assessment: inadequate system of radiotelephone communication stations with high costs and low telephone density |
| Telephone system: | domestic: fixed-line connections for less than 1 per 100 persons coupled with mobile-cellular subscribership base of only about 35 per 100 persons |
| Telephone system: | international: country code - 235; satellite earth station - 1 Intelsat (Atlantic Ocean) (2011) |
| Broadcast media: | 1 state-owned TV station; state-owned radio network, Radiodiffusion Nationale Tchadienne (RNT), operates national and regional stations; about 10 private radio stations; some stations rebroadcast programs from international broadcasters (2007) |
| Internet country code: | .td |
| Internet hosts: | 6 (2012) |
| Internet users: | 168,100 (2009) |
