| Communications | MALI |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 160,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 1 (2014 est.) |
| Telephones - mobile cellular: | total: 23.5 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 143 (2014 est.) |
| Telephone system: | general assessment: domestic system unreliable but improving; increasing use of local radio loops to extend network coverage to remote areas |
| Telephone system: | domestic: fixed-line subscribership remains less than 1 per 100 persons; mobile-cellular subscribership has increased sharply to about 70 per 100 persons |
| Telephone system: | international: country code - 223; satellite communications center and fiber-optic links to neighboring countries; satellite earth stations - 2 Intelsat (1 Atlantic Ocean, 1 Indian Ocean) (2010) |
| Broadcast media: | national public TV broadcaster; 2 privately owned companies provide subscription services to foreign multi-channel TV packages; national public radio broadcaster supplemented by a large number of privately owned and community broadcast stations; transmissions of multiple international broadcasters are available (2007) |
| Radio broadcast stations: | AM 1, FM 230 (27 regional and government stations, and 203 private stations), shortwave 1 (2001) |
| Television broadcast stations: | 2 (plus repeaters) (2007) |
| Internet country code: | .ml |
| Internet users: | total: 12.4 million |
| Internet users: | percent of population: 75.2% (2014 est.) |
