| Communications | MAURITIUS |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 380,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 28 (July 2015 est.) |
| Telephones - mobile cellular: | total: 1.762 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 132 (July 2015 est.) |
| Telephone system: | general assessment: small system with good service |
| Telephone system: | domestic: monopoly over fixed-line services terminated in 2005; fixed-line teledensity roughly 25 per 100 persons; mobile-cellular services launched in 1989 with current teledensity roughly 130 per 100 persons |
| Telephone system: | international: country code - 230; landing point for the SAFE submarine cable that provides links to Asia and South Africa where it connects to the SAT-3/WASC submarine cable that provides further links to parts of East Africa, and Europe; satellite earth station - 1 Intelsat (Indian Ocean); new microwave link to Reunion; HF radiotelephone links to several countries (2015) |
| Broadcast media: | the government maintains control over TV broadcasting through the Mauritius Broadcasting Corporation (MBC), which operates 3 analog and 10 digital TV stations; MBC is a shareholder in a local company that operates 2 pay-TV stations; the state retains the largest radio broadcast network with multiple stations; several private radio broadcasters have entered the market since 2001; transmissions of at least 2 international broadcasters are available (2007) |
| Internet country code: | .mu |
| Internet users: | total: 672,000 |
| Internet users: | percent of population: 50.1% (July 2015 est.) |
