| Communications | Tunisia |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 1,113,168 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 10 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 14,334,080 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 126 (2017 est.) |
| Telephone system: | general assessment: above the African average and continuing to be upgraded; key centers are Sfax, Sousse, Bizerte, and Tunis; telephone network is completely digitized; Internet access available throughout the country; penetration rates and Internet services are among the highest in the region; launched Tunisia's first commercial 3G mobile service; in 2016 the regulator accepted 3 MNO (mobile network operator) bids for LTE licenses; government Internet censorshipÂ abolished in 2013 (2018) |
| Telephone system: | domestic: in an effort to jumpstart expansion of the fixed-line network, the government awarded a concession to build and operate a VSAT network with international connectivity; rural areas are served by wireless local loops; competition between several mobile-cellular service providers has resulted in lower activation and usage charges and a strong surge in subscribership; fixed-lineÂ is 10 per 100 and mobile-cellular teledensity has reached aboutÂ 126 telephones per 100 persons (2018) |
| Telephone system: | international: country code - 216; a landing point for the SEA-ME-WE-4 submarine cable system that provides links to Europe, Middle East, and Asia; satellite earth stations - 1 Intelsat (Atlantic Ocean) and 1 Arabsat; coaxial cable and microwave radio relay to Algeria and Libya; participant in Medarabtel; 2 international gateway digital switches (2017) |
| Broadcast media: | 1 state-owned TV station with multiple transmission sites; 5 private TV stations broadcast locally; cable TV service is available; state-owned radio network with 2 stations (in Lome and Kara); several dozen private radio stations and a few community radio stations; transmissions of multiple international broadcasters available (2019) |
| Internet country code: | .tn |
| Internet users: | total: 5,665,242 |
| Internet users: | percent of population: 50.9% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 801,785 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 7 (2017 est.) |
