| Communications | New Zealand |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 1,801,645 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 37.11 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 6,550,687 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 134.93 (2019 est.) |
| Telecommunication systems: | general assessment: excellent domestic and international systems; mobile and P2P services soar; LTE rates some of the fastest in the world; growth in mobile broadband and fiber sectors; roll out of 5G; investment and development of infrastructure enable network capabilities toÂ propel the digital economy, digital media sector along with e-government, e-commerce across the country; newest and most powerful commercial satellite, Kacific-1 satellite, launched in 2019 to improve telecommunications in the Asia Pacific region (2020) |
| Telecommunication systems: | domestic: fixed-line 37 per 100 and mobile-cellular telephone subscribership 135 per 100 persons (2019) |
| Telecommunication systems: | international: country code - 64; landing points for the Southern Cross NEXT, Aqualink, Nelson-Levin, SCCN and Hawaiki submarine cable system providing links to Australia, Fiji, American Samoa, Kiribati, Samo, Tokelau, US and around New Zealand; satellite earth stations - 8 (1 Inmarsat - Pacific Ocean, 7 other) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | state-owned Television New Zealand operates multiple TV networks and state-owned Radio New Zealand operates 3 radio networks and an external shortwave radio service to the South Pacific region; a small number of national commercial TV and radio stations and many regional commercial television and radio stations are available; cable and satellite TV systems are available, as are a range of streaming services (2019) |
| Internet country code: | .nz |
| Internet users: | total: 4,340,672 |
| Internet users: | percent of population: 90.81% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 1.647 million |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 34 (2018 est.) |
