| Communications | Bahamas, The |
| --- | --- |
| Telephones - main lines in use: | 129,300 (2010) |
| Telephones - mobile cellular: | 428,400 (2010) |
| Telephone system: | general assessment: modern facilities |
| Telephone system: | domestic: totally automatic system; highly developed; the Bahamas Domestic Submarine Network links 14 of the islands and is designed to satisfy increasing demand for voice and broadband Internet services |
| Telephone system: | international: country code - 1-242; landing point for the Americas Region Caribbean Ring System (ARCOS-1) fiber-optic submarine cable that provides links to South and Central America, parts of the Caribbean, and the US; satellite earth stations - 2 (2007) |
| Broadcast media: | 2 television stations operated by government-owned, commercially run Broadcasting Corporation of the Bahamas (BCB); multi-channel cable TV subscription service is available; about 15 radio stations operating with BCB operating a multi-channel radio broadcasting network alongside privately-owned radio stations (2007) |
| Internet country code: | .bs |
| Internet hosts: | 21,939 (2010) |
| Internet users: | 115,800 (2009) |
