| Communications | PUERTO RICO |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 813,106 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 23 (July 2015 est.) |
| Telephones - mobile cellular: | total: 3.205 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 89 (July 2015 est.) |
| Telephone system: | general assessment: modern system integrated with that of the US by high-capacity submarine cable and Intelsat with high-speed data capability |
| Telephone system: | domestic: digital telephone system; mobile-cellular services |
| Telephone system: | international: country code - 1-787, 939; submarine cables provide connectivity to the US, Caribbean, Central and South America; satellite earth station - 1 Intelsat (2015) |
| Broadcast media: | more than 30 TV stations operating; cable TV subscription services are available; roughly 125 radio stations (2007) |
| Internet country code: | .pr |
| Internet users: | total: 2.86 million |
| Internet users: | percent of population: 79.5% (July 2015 est.) |
