| Communications | Burma |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 556,112 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 1 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 47,951,228 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 87 (2017 est.) |
| Telephone system: | general assessment: remains one of the last underdeveloped telecoms markets in Asia; the mobile market has experienced rapid growth from 2013 to 2017, in 2014 foreign competition was allowed to competeÂ in the market (2018) |
| Telephone system: | domestic: fixed-line is less than 1 per 100, while mobile-cellular is 87 per 100 and shows great potential for the future (2018) |
| Telephone system: | international: country code - 95; landing points for the SeaMeWe-3, SeaMeWe-5, AAE-1 and Singapore-MyanmarÂ optical telecommunications submarine cable that provides links to Asia, the Middle East, Africa, Southeast Asia, AustraliaÂ and Europe; satellite earth stations - 2, Intelsat (Indian Ocean) and ShinSat (2019) |
| Broadcast media: | government controls all domestic broadcast media; 2 state-controlled TV stations with 1 of the stations controlled by the armed forces; 2 pay-TV stations are joint state-private ventures; access to satellite TV is limited; 1 state-controlled domestic radio station and 9 FM stations that are joint state-private ventures; transmissions of several international broadcasters are available in parts of Burma; the Voice of America (VOA), Radio Free Asia (RFA), BBC Burmese service, the Democratic Voice of Burma (DVB), and Radio Australia use shortwave to broadcast in Burma; VOA, RFA, and DVB produce daily TV news programs that are transmitted by satellite to audiences in Burma; in March 2017, the government granted licenses to 5 private broadcasters, allowing them digital free-to-air TV channels to be operated in partnership with government-owned Myanmar Radio and Television (MRTV) and will rely upon MRTVâ€™s transmission infrastructure (2019) |
| Internet country code: | .mm |
| Internet users: | total: 14,264,308 |
| Internet users: | percent of population: 25.1% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 404,932 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2017 est.) |
