| Communications | Belarus |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 4,499,821 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 47 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 10,963,224 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 115 (2017 est.) |
| Telephone system: | general assessment: fibre network reaches two million establishments; trial 5G services during the first half of 2019; 10,000km of fibre cabling laid; August 2018 almost two million GPONÂ connections (Gigabit Passive Optical Network, point-to-multi point acess mechanism); 5 year plan is on track; Belarus launches its first telecoms satellite; LTE use reaches 75% of mobile subscribers (2018) |
| Telephone system: | domestic: fixed-line teledensity is improving although rural areas continue to be underserved, Â 47Â per 100 fixed-line; mobile-cellular teledensity now approaches 120 telephones per 100 persons (2017) |
| Telephone system: | international: country code - 375; Belarus is a member of the Trans-European Line (TEL), Trans-Asia-Europe (TAE) fiber-optic line, and has access to the Trans-Siberia Line (TSL); 3 fiber-optic segments provide connectivity to Latvia, Poland, Russia, and Ukraine; worldwide service is available to Belarus through this infrastructure; additional analog lines to Russia; Intelsat, Eutelsat, and Intersputnik earth stations (2017) |
| Broadcast media: | 7 state-controlled national TV channels; Polish and Russian TV broadcasts are available in some areas; state-run Belarusian Radio operates 5 national networks and an external service; Russian and Polish radio broadcasts are available (2017) |
| Internet country code: | .by |
| Internet users: | total: 6,805,786 (July 2016 est.) |
| Internet users: | percent of population: 71.1% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 3,163,286 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 33 (2017 est.) |
