| Communications | Bosnia and Herzegovina |
| --- | --- |
| Telephones - main lines in use: | 998,600 (2009) |
| Telephones - mobile cellular: | 3.257 million (2009) |
| Telephone system: | general assessment: post-war reconstruction of the telecommunications network, aided by a internationally sponsored program under EBRD, resulting in sharp increases in the number of fixed telephone lines available |
| Telephone system: | domestic: fixed-line teledensity roughly 22 per 100 persons; mobile-cellular subscribership has been increasing rapidly and, in 2009, reached 70 telephones per 100 persons |
| Telephone system: | international: country code - 387; no satellite earth stations (2009) |
| Broadcast media: | 3 public TV broadcasters: Radio and TV of Bosnia and Herzegovina, Federation TV (operating 2 networks), and Serb Republic Radio-TV; a local commercial network of 5 TV stations; 2 private, near-national TV stations and dozens of small independent TV stations broadcasting; 3 large public radio broadcasters and a large number of private radio stations (2007) |
| Internet country code: | .ba |
| Internet hosts: | 95,234 (2010) |
| Internet users: | 1.422 million (2009) |
