| Communications | LIECHTENSTEIN |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 16,600 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 44 (July 2016 est.) |
| Telephones - mobile cellular: | total: 43,914 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 116 (July 2016 est.) |
| Telephone system: | general assessment: automatic telephone system |
| Telephone system: | domestic: fixed-line and mobile-cellular services widely available; combined telephone service subscribership exceeds 155 per 100 persons |
| Telephone system: | international: country code - 423; linked to Swiss networks by cable and microwave radio relay (2016) |
| Broadcast media: | relies on foreign terrestrial and satellite broadcasters for most broadcast media services; first Liechtenstein-based TV station established August 2008; Radio Liechtenstein operates multiple radio stations; a Swiss-based broadcaster operates several radio stations in Liechtenstein (2008) |
| Internet country code: | .li |
| Internet users: | total: 37,214 |
| Internet users: | percent of population: 98.1% (July 2016 est.) |
