| Communications | Monaco |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 34,903 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 113.23 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 26,725 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 86.7 (2019 est.) |
| Telecommunication systems: | general assessment: modern automatic telephone system; the country's sole fixed-line operator offers a full range of services to residential and business customers; competitive mobile telephony market; 4G LTE widely available (2020) |
| Telecommunication systems: | domestic: fixed-line 113 per 100 and mobile-cellular teledensity exceeds 87 per 100 persons (2019) |
| Telecommunication systems: | international: country code - 377; landing points for the EIG and Italy-Monaco submarine cables connecting Monaco to Europe, Africa, the Middle East and Asia; no satellite earth stations; connected by cable into the French communications system (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | TV Monte-Carlo operates a TV network; cable TV available; Radio Monte-Carlo has extensive radio networks in France and Italy with French-language broadcasts to France beginning in the 1960s and Italian-language broadcasts to Italy beginning in the 1970s; other radio stations include Riviera Radio and Radio Monaco |
| Internet country code: | .mc |
| Internet users: | total: 29,821 |
| Internet users: | percent of population: 97.05% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 19,822 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 65 (2018 est.) |
