| Communications | Netherlands |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 5,598,798 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 32.52 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 21,914,852 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 127.29 (2019 est.) |
| Telecommunication systems: | general assessment: highly developed and well maintained; while fixed-line voice market is in decline the VoIP (voiceÂ over Internet protocol) and mobile platforms advance; one of the highest fixed broadband penetration rates in the world, due to government investments; plans for 3G network shutdown in 2022; operators are concentrating investment on LTE-A and 5G services; MNOs and banks launch m-payments system (2020) |
| Telecommunication systems: | domestic: extensive fixed-line, fiber-optic network; large cellular telephone system with five major operators utilizing the third generation of the Global System for Mobile Communications technology; one in five households now use Voice over the Internet Protocol services; fixed-line 33 per 100 and mobile-cellular 127 per 100 persons (2019) |
| Telecommunication systems: | international: country code - 31; landing points for Farland North, TAT-14, Circe North, Concerto, Ulysses 2, AC-1, UK-Netherlands 14, and COBRAcable submarine cables which provide links to the US and Europe; satellite earth stations - 5 (3 Intelsat - 1 Indian Ocean and 2 Atlantic Ocean, 1 Eutelsat, and 1 Inmarsat) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | more than 90% of households are connected to cable or satellite TV systems that provide a wide range of domestic and foreign channels; public service broadcast system includes multiple broadcasters, 3 with a national reach and the remainder operating in regional and local markets; 2 major nationwide commercial television companies, each with 3 or more stations, and many commercial TV stations in regional and local markets; nearly 600 radio stations with a mix of public and private stations providing national or regional coverage |
| Internet country code: | .nl |
| Internet users: | total: 16,243,928 |
| Internet users: | percent of population: 94.71% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 7,406,700 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 43 (2018 est.) |
