| Communications | Macedonia |
| --- | --- |
| Telephones - main lines in use: | 442,200 (2009) |
| Telephones - mobile cellular: | 1.943 million (2009) |
| Telephone system: | general assessment: competition from the mobile-cellular segment of the telecommunications market has led to a drop in fixed-line telephone subscriptions |
| Telephone system: | domestic: combined fixed-line and mobile-cellular telephone subscribership about 115 per 100 persons |
| Telephone system: | international: country code - 389 (2009) |
| Broadcast media: | public television broadcaster operates 3 national channels and a satellite network; 5 privately-owned TV channels broadcast nationally; roughly 50 local commercial TV stations broadcasting; large number of cable operators offering domestic and international programming; public radio broadcaster operates over multiple stations; 3 privately-owned radio stations broadcast nationally; roughly 65 local commercial radio stations functioning (2007) |
| Internet country code: | .mk |
| Internet hosts: | 60,533 (2010) |
| Internet users: | 1.057 million (2009) |
