| Communications | Poland |
| --- | --- |
| Telephones - main lines in use: | 10.336 million (2008) |
| Telephones - mobile cellular: | 44.004 million (2008) |
| Telephone system: | general assessment: modernization of the telecommunications network has accelerated with market based competition finalized in 2003; fixed-line service, dominated by the former state-owned company, is dwarfed by the growth in wireless telephony |
| Telephone system: | domestic: mobile-cellular service available since 1993 and provided by three nation-wide networks with a fourth provider beginning operations in late 2006; cellular coverage is generally good with some gaps in the east; fixed-line service is growing slowly and still lags in rural areas |
| Telephone system: | international: country code - 48; international direct dialing with automated exchanges; satellite earth station - 1 with access to Intelsat, Eutelsat, Inmarsat, and Intersputnik (2007) |
| Radio broadcast stations: | AM 14, FM 63, shortwave 2 (2008) |
| Television broadcast stations: | 75 (2008) |
| Internet country code: | .pl |
| Internet hosts: | 8.906 million (2009) |
| Internet users: | 18.679 million (2008) |
