| Communications | SERBIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 2,770,462 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 39 (July 2015 est.) |
| Telephones - mobile cellular: | total: 9.156 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 128 (July 2015 est.) |
| Telephone system: | general assessment: replacements of, and upgrades to, telecommunications equipment damaged during the 1999 war resulted in a modern digitalized telecommunications system |
| Telephone system: | domestic: wireless service, available through multiple providers with national coverage, is growing very rapidly; best telecommunications services are centered in urban centers; 3G mobile network launched in 2007 |
| Telephone system: | international: country code - 381 (2011) |
| Internet country code: | .rs |
| Internet users: | total: 4.688 million |
| Internet users: | percent of population: 65.3% (July 2015 est.) |
