| Communications | Spain |
| --- | --- |
| Telephones - main lines in use: | 19.867 million (2011) |
| Telephones - mobile cellular: | 52.598 million (2011) |
| Telephone system: | general assessment: well developed, modern facilities; fixed-line teledensity exceeds 40 per 100 persons |
| Telephone system: | domestic: combined fixed-line and mobile-cellular teledensity exceeds 150 telephones per 100 persons |
| Telephone system: | international: country code - 34; submarine cables provide connectivity to Europe, Middle East, Asia, and US; satellite earth stations - 2 Intelsat (1 Atlantic Ocean and 1 Indian Ocean), NA Eutelsat; tropospheric scatter to adjacent countries |
| Broadcast media: | a mixture of both publicly-operated and privately-owned TV and radio stations; overall, hundreds of TV channels are available including national, regional, local, public, and international channels; satellite and cable TV systems available; multiple national radio networks, a large number of regional radio networks, and a larger number of local radio stations; overall, hundreds of radio stations (2008) |
| Internet country code: | .es |
| Internet hosts: | 4.228 million (2012) |
| Internet users: | 28.119 million (2009) |
