| Communications | Switzerland |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 3,672,500 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 45 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 11.292 million (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 137 (2017 est.) |
| Telephone system: | general assessment: highly developed telecommunications infrastructure with excellent domestic and international services (2016) |
| Telephone system: | domestic: ranked among leading countries for fixed-line teledensity and infrastructure; mobile-cellular subscribership roughly 140 per 100 persons; extensive cable and microwave radio relay networks (2016) |
| Telephone system: | international: country code - 41; satellite earth stations - 2 Intelsat (Atlantic Ocean and Indian Ocean) (2016) |
| Broadcast media: | the publicly owned radio and TV broadcaster, Swiss Broadcasting Corporation (SRG/SSR), operates 7 national TV networks, 3 broadcasting in German, 2 in Italian, and 2 in French; private commercial TV stations broadcast regionally and locally; TV broadcasts from stations in Germany, Italy, and France are widely available via multi-channel cable and satellite TV services; SRG/SSR operates 17 radio stations that, along with private broadcasters, provide national to local coverage (2015) |
| Internet country code: | .ch |
| Internet users: | total: 7,312,744 (July 2016 est.) |
| Internet users: | percent of population: 89.4% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 3.85 million (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 47 (2017 est.) |
