| Communications | Jordan |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 404,112 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 4 (July 2016 est.) |
| Telephones - mobile cellular: | total subscriptions: 9,818,446 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 96 (July 2016 est.) |
| Telephone system: | general assessment: microwave radio relay transmission and coaxial and fiber-optic cable are employed on trunk lines; growing mobile-cellular usage in both urban and rural areas is reducing use of fixed-line services; recent influx of refugees putting burden on country's econmy, infrastructure and society; mobile broadbandÂ area ofÂ growth with 4G services (2018) |
| Telephone system: | domestic: 1995 telecommunications law opened all non-fixed-line services to private competition; in 2005, monopoly over fixed-line services terminated and the entire telecommunications sector was opened to competition; currently multiple mobile-cellular providers with subscribership up toÂ 96 per 100 persons; fixed-line 4 per 100 persons (2018) |
| Telephone system: | international: country code - 962; landing point for theÂ FEA andÂ Taba-Aqaba submarine cable networks providing connectivity to Europe, the Middle East, Southeast Asia and Asia; satellite earth stations - 33 (3 Intelsat, 1 Arabsat, and 29 land and maritime Inmarsat terminals (2019) |
| Broadcast media: | radio and TV dominated by the government-owned Jordan Radio and Television Corporation (JRTV) that operates a main network, a sports network, a film network, and a satellite channel; first independent TV broadcaster aired in 2007; international satellite TV and Israeli and Syrian TV broadcasts are available; roughly 30 radio stations with JRTV operating the main government-owned station; transmissions of multiple international radio broadcasters are available |
| Internet country code: | .jo |
| Internet users: | total: 5,099,674 |
| Internet users: | percent of population: 62.3% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 456,610 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 4 (2017 est.) |
