| Communications | PERU |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 3,074,464 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 10 (July 2016 est.) |
| Telephones - mobile cellular: | total: 36,933,161 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 120 (July 2016 est.) |
| Telephone system: | general assessment: adequate for most requirements; nationwide microwave radio relay system and a domestic satellite system with 12 earth stations |
| Telephone system: | domestic: fixed-line teledensity is only about 10 per 100 persons; mobile-cellular teledensity, spurred by competition among multiple providers, now 120 telephones per 100 persons |
| Telephone system: | international: country code - 51; the South America-1 (SAM-1) and Pan American (PAN-AM) submarine cable systems provide links to parts of Central and South America, the Caribbean, and US; satellite earth stations - 2 Intelsat (Atlantic Ocean) (2016) |
| Broadcast media: | 10 major TV networks of which only one, Television Nacional de Peru, is state owned; multi-channel cable TV services are available; in excess of 2,000 radio stations including a substantial number of indigenous language stations (2010) |
| Internet country code: | .pe |
| Internet users: | total: 13,975,422 |
| Internet users: | percent of population: 45.5% (July 2016 est.) |
