| Communications | Afghanistan |
| --- | --- |
| Telephones - main lines in use: | 460,000 (2008) |
| Telephones - mobile cellular: | 8.45 million (2008) |
| Telephone system: | general assessment: limited landline telephone service; an increasing number of Afghans utilize mobile-cellular phone networks in major cities |
| Telephone system: | domestic: aided by the presence of multiple providers, mobile-cellular telephone service is improving rapidly |
| Telephone system: | international: country code - 93; five VSAT's installed in Kabul, Herat, Mazar-e-Sharif, Kandahar, and Jalalabad provide international and domestic voice and data connectivity (2007) |
| Radio broadcast stations: | AM 21, FM 5, shortwave 1 (broadcasts in Pashto, Dari (Afghan Persian), Urdu, and English) (2006) |
| Television broadcast stations: | at least 7 (1 government-run central television station in Kabul and regional stations in 6 of the 34 provinces) (2006) |
| Internet country code: | .af |
| Internet hosts: | 47 (2009) |
| Internet users: | 500,000 (2008) |
| Communications - note: | Internet access is growing through Internet cafes as well as public "telekiosks" in Kabul (2005) |
