| Communications | Bhutan |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 21,364 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 3 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 730,623 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 96 (2017 est.) |
| Telephone system: | general assessment: urban towns and district headquarters have telecommunications services; telecom sector has been continuing on a steady development path; fixed broadband penetration remains very low, due to theÂ preeminence of the mobile platform; in the next five years to 2023 low to moderate growth is expected from this small base (2018) |
| Telephone system: | domestic: domestic service inadequate,Â notably in rural areas; mobile-cellular service, begun in 2003, is now widely available; 3 to 100 fixed-line, 96 to 100 mobile cellular (2018) |
| Telephone system: | international: country code - 975; international telephone and telegraph service via landline and microwave relay through India; satellite earth station - 1 Intelsat |
| Broadcast media: | state-owned TV station established in 1999; cable TV service offers dozens of Indian and other international channels; first radio station, privately launched in 1973, is now state-owned; 5 private radio stations are currently broadcasting (2012) |
| Internet country code: | .bt |
| Internet users: | total: 313,347 |
| Internet users: | percent of population: 41.8% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 16,707 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 2 (2017 est.) |
